4: iris-mlp-32x2
8: california-mlp-64x2
10: diabetes-mlp-32x1
10: corrgroups10-mlp-32x2
10: independentlinear10-mlp-32x2
12: adult-mlp-32x2
16: obesity-mlp-32x2
18: vehicles-mlp-32x2
19: parkinsons-mlp-32x2
20: german-mlp-8x1
20: independentlinear20-mlp-32x2
20: corrgroups20-mlp-32x2
21: cdc_diabetes-mlp-128x3
22: mushroom-mlp-8x1
23: default-mlp-64x3
25: automobile-mlp-32x2
27: steel-mlp-8x2
28: hepatitis-mlp-8x2
30: breast_cancer-mlp-32x2
30: corrgroups30-mlp-32x2
30: independentlinear30-mlp-32x2
33: infrared_temperature-mlp-32x2
34: ionosphere-mlp-32x2
36: dropout-mlp-32x2
38: annealing-mlp-32x2
40: independentlinear40-mlp-32x2
40: corrgroups40-mlp-32x2
42: support2-mlp-8x2
47: diabetes130-mlp-32x2
50: independentlinear50-mlp-32x2
50: corrgroups50-mlp-32x2
54: covertype-mlp-32x2
56: lung_cancer-mlp-4x2
57: spambase-mlp-32x2
58: online_news-mlp-8x2
60: sonar-mlp-32x2
60: corrgroups60-mlp-16x2
60: independentlinear60-mlp-16x2
64: handwritten_digits-mlp-64x2
79: nhanesi-mlp-8x1
83: rt_iot-mlp-32x2
95: bankruptcy-mlp-32x2
101: communitiesandcrime-mlp-32x2
